prnno,name,username,password,latitude,longitude,area
PRN0000142,Kavya Pawar,kavya_pawar123,$2b$12$7yvOU/vqdIqRy42dIhg//u/x0BtgKWycg/wKsYxwAueaZA2EvuEL2,19.980048,73.8080203,Panchavati
PRN0000143,Sneha Shinde,sneha_shinde123,$2b$12$m1riKPOmXxAXjyOYKZDjYeNvNoOatTcCu3Z9ypjZChbSK0XGp9fym,19.986069,73.761798,Dwarka
PRN0000144,Rohan Joshi,rohan_joshi123,$2b$12$IPfEMusIMZyjuBoqfxtnW.TRmk9ZiKcfWcvJ39TRVGVBapNy7rprm,19.978827,73.777502,Dwarka
PRN0000145,Vihaan Kale,vihaan_kale123,$2b$12$lFEkWqSPEqhLEpWaD.AgJOrXoKdfqawY2CJ1QXAcUAKwxUyszsw7O,19.964684,73.777135,Satpur
PRN0000146,Ananya Deshmukh,ananya_deshmukh123,$2b$12$7LxWrX1Yw/a4Rj.a8k.GreFFVELWY5yzcbthl7vT9naOvp2EWHtwO,19.979649,73.781311,Dwarka
PRN0000147,Pooja Patil,pooja_patil123,$2b$12$oWmMODwdzCJUi5ddc8ARU.E4QmWUk1q3pR0diH0RD9Drhab3gZIxu,19.961194,73.778431,Satpur
PRN0000148,Sakshi Jadhav,sakshi_jadhav123,$2b$12$pnmYsbCgR3MRpNFuGumdceKvKhkb02aXqP4.8RW9lalBdEJUOX0Jq,20.032585,73.782657,Makhamalabad road
PRN0000149,Ananya Chavan,ananya_chavan123,$2b$12$RndoG9fZthxyEw4XyDuRguN.PO.ibZ2NoZpZy25uVFSAUJhsSjtSm,19.963912,73.779409,Satpur
PRN0000150,Kavya Deshmukh,kavya_deshmukh123,$2b$12$SCCMGGm1eWTG9r7GsHY4i.KfNRnP7iSaIzjaNgTxwjt4tRRvCayaa,19.994787,73.78766,College Road
PRN0000151,Om Kapoor,om_kapoor123,$2b$12$6HiV6/5zZBORMKQlLjp/U.kgANWhhEgVFMy8r8P.29KB8Iffr1dIS,20.0121364,73.7548564,gangapur road
PRN0000152,Keya Jadhav,keya_jadhav123,$2b$12$hYF/eG8qbmxLNb0EDjAOieRKPx5YYx/RtoaAJFJet2TRqWw212F9u,20.0070101,73.7843694,Ashok stambh
PRN0000153,Bhushan Bodke,bhushan_bodke123,$2b$12$VFHu5rwOpYxydI1JK6MZnei2ZmPTrQ8gP0VD4tEzaECEUslbdLFTi,20.0094536,73.8043621,Aurangabad naka
